TimeStamp,Voltage,Current,RealPower,PowerFactor,ApparantPower,Reactivepower,Frequency,Remarks
2021-08-10 09:03:09.220659,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.224573,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.228415,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.232453,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.236357,224.26,0.71,164.00,0.91,180.62,75.67,50.02,
2021-08-10 09:03:09.240193,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.243708,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.247412,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.251509,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.255448,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.259335,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.262657,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.267839,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.270568,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.274636,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.278537,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.282325,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.285801,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.289922,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.293535,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.297513,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.301538,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.304682,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.308647,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.312927,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.316562,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
